"Priority","Key","Status","DueDate","Flagged"
"Highest","PD-2578","Done","10/2/24 0:00",""
"Highest","PD-2626","Done","10/11/24 0:00",""
"Highest","PD-2641","Done","",""
"Highest","PD-2625","Done","",""
"Highest","PD-2610","Done","",""
"Highest","PD-2594","Done","",""
"Highest","PD-2478","Done","",""
"Highest","PD-2452","Done","",""
"Highest","PD-2229","Done","",""
"Highest","PD-1988","Done","",""
"High","PD-1800","Done","10/1/24 0:00",""
"High","PD-2416","Done","10/17/24 0:00",""
"High","PD-2615","Done","",""
"High","PD-2582","Done","",""
"High","PD-2283","Done","",""
"High","PD-2217","Done","",""
"High","PD-2104","Done","",""
"Medium","PD-2653","Done","",""
"Medium","PD-2530","Done","",""
"Medium","PD-2503","Done","",""
"Medium","PD-2480","Done","",""
"Medium","PD-2457","Done","",""
"Medium","PD-2185","Done","",""
"Medium","PD-2037","Done","",""
"Medium","PD-1963","Done","",""
"Medium","PD-1914","Done","",""
"High","PD-1262","Deployed to QA","10/4/24 0:00","Impediment"
"High","PD-2637","REWORK FROM TESTING","10/10/24 0:00","Impediment"
"High","PD-2211","REWORK FROM TESTING","10/10/24 0:00","Impediment"
"High","PD-2589","To Do","10/10/24 0:00","Impediment"
"Highest","PD-2548","Needs Happy Path Testing","10/17/24 0:00","Impediment"
"High","PD-2580","In Development","10/30/24 0:00","Impediment"
"Medium","PD-1493","Ready","10/31/24 0:00","Impediment"
"Highest","PD-2524","Live - Rework","","Impediment"
"High","PD-2106","UAT - REWORK","","Impediment"
"High","PD-1503","In Development","","Impediment"
"Medium","PD-2193","Live - Rework","","Impediment"
"Medium","PD-2535","QA In Testing","","Impediment"
"Medium","PD-2494","QA In Testing","","Impediment"
"Highest","PD-2531","IN LIVE - NEEDS TESTING","",""
"Highest","PD-2208","IN LIVE - NEEDS TESTING","",""
"High","PD-2609","IN LIVE - NEEDS TESTING","9/30/24 0:00",""
"High","PD-2518","IN LIVE - NEEDS TESTING","",""
